file,course,source,start,end,text
100.json,Discrete Mathematics by Prof Sudarshan Iyengar,NPTEL,1:25,1:55,how do i even solve this question what i should do is i should try all possibilities put a equal put b equal c equal d equal you see its a ten digit binary number for every possibility i should check whether it will return or not correct so there are to possibilities because there are to the possible binary numbers
100.json,Discrete Mathematics by Prof Sudarshan Iyengar,NPTEL,1:55,2:20,that are ten digit long for each of these assignments of s or s to ab c d e f g h i j i must check whether my output is or some one assignment might give me correct so i repeat the question is given a long boolean expression with ten variables like this and
100.json,Discrete Mathematics by Prof Sudarshan Iyengar,NPTEL,2:20,2:49,you are asked to find an assignment that makes it you must try all possible s and assignment to these boolean variables and then see which one gives to the is a very big number correct if you think this is not so big assume you had boolean variables boolean variables in your boolean expression
100.json,Discrete Mathematics by Prof Sudarshan Iyengar,NPTEL,2:49,3:08,then you should try to the possibilities now that is actually an astronomical number to the is very huge correct so that is a reason why the sat problem is tough its not so easy to solve this even with super computers you will not be able to do much
100.json,Discrete Mathematics by Prof Sudarshan Iyengar,NPTEL,3:08,3:31,when you have many boolean variables of course i am not getting into the details of this this is not actually part of our discrete math syallubus but its a very motivational introduction to what is called complexity theory which computer science students will be studying later its a good idea to open a thread here so that they can relate to it when they encounter
100.json,Discrete Mathematics by Prof Sudarshan Iyengar,NPTEL,3:31,3:33,it in the other subjects
101.json,Discrete Mathematics by Prof Sudarshan Iyengar,NPTEL,0:03,0:40,so look at this particular truthtable do you see these two columns its clear that these two columns are exactly the same think about it what does this signify it simply signifies that look at the columns and the corresponding headers of these columns they are the boolean expressions the fact that for every possible input that you can think of these two boolean expressions
101.json,Discrete Mathematics by Prof Sudarshan Iyengar,NPTEL,0:40,1:00,agree by agree i mean if he is zero he is zero that is one this is one right which means they both are equivalent right so this is what we mean by equivalence of two boolean expressions we say they are logically the same
102.json,Discrete Mathematics by Prof Sudarshan Iyengar,NPTEL,0:02,0:24,let us look at this particular example that we have been seeing from a long time p implies q and look at another column which is not p or q what do you have to say about these truthtables these two columns the two tables they are exactly the same which means they both
102.json,Discrete Mathematics by Prof Sudarshan Iyengar,NPTEL,0:24,0:43,are actually logically equivalent by that i mean we can replace p implies q wherever you spot p implies q you can replace it by not p or q and the resulting expression will continue to be the same
103.json,Discrete Mathematics by Prof Sudarshan Iyengar,NPTEL,0:03,0:34,i will now write a truthtable for two different boolean expressions the familiar p implies q and another boolean expression not p or q why am i doing this you will get to know in a minutes time so let me look at the truthtables of these two expressions so p and q as and always and then what is p implies q
103.json,Discrete Mathematics by Prof Sudarshan Iyengar,NPTEL,0:34,1:09,we know it is okay we have not p or q here so i will write down not p for my reference not p would be so i should now write down not p or q or is or is or is or is now pause and observe dont you think these two entries are precisely the same
103.json,Discrete Mathematics by Prof Sudarshan Iyengar,NPTEL,1:09,1:37,yes they are okay whenever two columns are precisely the same their corresponding boolean expressions are equivalent what do i mean by equivalent look here is a boolean expression some lets say boolean expression b here is another boolean expression lets say b dash and then entire column is the same which means no matter what input you give for this boolean
103.json,Discrete Mathematics by Prof Sudarshan Iyengar,NPTEL,1:37,2:03,circuit or boolean expression they agree always when they agree always we should say they both are exactly the same they might appear different so my p implies q here and my not p or q here are exactly the same but they appear different such expressions are called equivalent boolean expressions
103.json,Discrete Mathematics by Prof Sudarshan Iyengar,NPTEL,2:03,2:26,here is an interesting question p implies and implied by q and look at this expression p and q or not p and not q let us write the truthtable of both of these expressions p implies and implied by q has the values and lets try writing the truthtable of this which involves writing the truthtable of p
103.json,Discrete Mathematics by Prof Sudarshan Iyengar,NPTEL,2:26,2:47,and q which is this and then the truthtable of not p and not q which is this and or of these two which is this what do you observe i observe that these entries are same as the entries for p implies and implied by q which means these two expressions are equivalent
104.json,Discrete Mathematics by Prof Sudarshan Iyengar,NPTEL,0:02,0:34,lets consider another example i would like to look at this boolean expression p and not q or not p and q so what all should i find i should first find p q not p not q and then p and not q and finally not p and q and this will help me determine my given
104.json,Discrete Mathematics by Prof Sudarshan Iyengar,NPTEL,0:34,0:52,boolean expression right thats all we have this is just to be organized you can in fact if you have the right talent you can directly write down the truthtable of p and not q or not p and q i am just being organized and writing everything that it becomes easy for me to compute p
104.json,Discrete Mathematics by Prof Sudarshan Iyengar,NPTEL,0:52,1:29,q not p is not q will be p and not q will be and is and is and is and is so not p and q is not p and q will be and is and is and is and is now it should take an or of p and
104.json,Discrete Mathematics by Prof Sudarshan Iyengar,NPTEL,1:29,1:59,not q and not p and q i should take an or of these two so how do i do that or is or is or is or is do you observe something this looks very familiar to me what is that this is nothing else but your p exclusive or q right p xor q is
104.json,Discrete Mathematics by Prof Sudarshan Iyengar,NPTEL,1:59,2:27,so what do i conclude i conclude that the given expression p and not q or not p and q is logically equivalent to my p exclusive or q right i repeat whenever truthtable agree their corresponding expressions are considered equivalent thats only obvious right
105.json,Discrete Mathematics by Prof Sudarshan Iyengar,NPTEL,0:03,0:27,betty bought some butter but the butter was bitter so she bought better butter to make the bitter butter better butter why did i say all this just for fun now what just happened our friend initially said a very complicated tongue twister but ideally speaking that just meant a small one liner
105.json,Discrete Mathematics by Prof Sudarshan Iyengar,NPTEL,0:27,0:49,bitty had bad butter she replaced that by good butter but look at the tongue twister it looks very complicated now here is a lesson for us to buy there are things that are more complicated than what it actually is and we may want to simplify it dont you think we encounter this problem in a real life too
105.json,Discrete Mathematics by Prof Sudarshan Iyengar,NPTEL,0:49,1:12,i at least do as a professor i read a text book or a piece of a research article and i see it is more complicated than what it was supposed to be right thats because we seldom spend time on simplifying things im reminded of a very beautiful quote by blaise pascal which goes like this
105.json,Discrete Mathematics by Prof Sudarshan Iyengar,NPTEL,1:12,1:34,i write long letters because i lack time to make it short what does it mean it means making it short requires a lot of time short is not less time short making a something very long short is quite a exercise so let us take this as a moral and try to apply this in simplifying boolean expressions
105.json,Discrete Mathematics by Prof Sudarshan Iyengar,NPTEL,1:34,1:50,sometimes your boolean expressions they appear very complicated and big but in reality they may not be as complicated as they appear there are in fact very nice ways in which you can simplify a boolean expression lets see how that can be done
106.json,Discrete Mathematics by Prof Sudarshan Iyengar,NPTEL,0:03,0:28,look at this statement it is incorrect to not dress well on a dinner date what does it mean i repeat it is incorrect to not dress well on a dinner date do you see it is incorrect incorrect is not correct to not dress well there is a not and a not in two places
106.json,Discrete Mathematics by Prof Sudarshan Iyengar,NPTEL,0:28,0:50,you know what that means it simply means that you must dress well on a dinner date correct but theres a twist and turn that we use here that just play on words but this statement is actually called a double negation right not a statement it is a sentence
106.json,Discrete Mathematics by Prof Sudarshan Iyengar,NPTEL,0:50,0:58,as i told you in our course the word statement has a different connotation this sentence has what is called a double negation we will see more of this with good examples
107.json,Discrete Mathematics by Prof Sudarshan Iyengar,NPTEL,0:03,0:31,here goes some interesting examples of what i just said the double negation look at this statement i never said i dont like sweets what do i mean by this if the statement p is i like sweets p complement will be i dont like sweets and the complement of this would be it is not true that i dont like sweets
107.json,Discrete Mathematics by Prof Sudarshan Iyengar,NPTEL,0:31,0:57,correct so it is not true that i dont like sweets implies that i like sweets which is your statement p so complement of a statement and its complement will give you back the statement now this is like straightforward and commonsensical talk to anyone who understands basic language they will say what is so great about it
107.json,Discrete Mathematics by Prof Sudarshan Iyengar,NPTEL,0:57,1:22,right but then this goes by the name double negation not of not is the same ill give you another example there is this very popular way of stating something in a funny way you see i cant not treat my friend badly what do you mean by that i cannot not treat my friend badly
107.json,Discrete Mathematics by Prof Sudarshan Iyengar,NPTEL,1:22,1:38,you see there is a double negation here as well the not not gets cancelled all you are trying to say is that you will treat your friend well lets now look at the truth table of this there is only one variable p which can take the value or
107.json,Discrete Mathematics by Prof Sudarshan Iyengar,NPTEL,1:38,1:56,p complement will simply be complement of is complement of is and the complement of this will be complement of is complement of is you see the entries of p and p double negation is the same and hence p and p double negation are equivalent
108.json,Discrete Mathematics by Prof Sudarshan Iyengar,NPTEL,0:03,0:25,you see what we have seen so far closely observe that we saw different operators like and or xor and things like that right double negation and things like that there is something nice about these operators although they are very easy to understand there are some nice properties that they follow
108.json,Discrete Mathematics by Prof Sudarshan Iyengar,NPTEL,0:25,0:49,let us look at those properties you see when i say p and q is true this is same as q and p you see correct he is rich and handsome is same as he is handsome and rich correct perfect now p and q q and p we say are equivalent
108.json,Discrete Mathematics by Prof Sudarshan Iyengar,NPTEL,0:49,1:07,it doesnt matter whether you write p first or q first p and q is same as q and p very soon you will realize what we are doing now look at this p and q and r is same as p and q and r why is that look at this truth table
108.json,Discrete Mathematics by Prof Sudarshan Iyengar,NPTEL,1:07,1:26,although sounds very obvious its important for you to observe why it is obvious right look at p and of q and r first write the values of q and r and then this particular column you and it with p what are the entries that you get observe this
108.json,Discrete Mathematics by Prof Sudarshan Iyengar,NPTEL,1:26,1:47,look at the corresponding entries of p and q and r they are the same and hence they are equivalent right okay now what is less obvious is this statement which is p and of q or r now this is not the same as p and q or r
108.json,Discrete Mathematics by Prof Sudarshan Iyengar,NPTEL,1:47,2:10,its not true just the way we did before this is not true this is something else this will be p and q or p and r okay these are some of the very important and interesting laws they are given some names so that we can refer to them later
108.json,Discrete Mathematics by Prof Sudarshan Iyengar,NPTEL,2:10,2:41,the first one is called the commutative law which means order doesnt matter second one is the distributive law which means brackets dont matter as long as the operator is the same and finally this is called the distributive law where and distributes over or a word of caution you must observe that if you replace and with or in the commutative
108.json,Discrete Mathematics by Prof Sudarshan Iyengar,NPTEL,2:41,3:07,law it still holds good same is true with the other two laws as well so note that whatever we are going to say for one operator it holds good for the other operator also and you must validate and verify it now there are more laws called the idempotent law which is this identity law which is
108.json,Discrete Mathematics by Prof Sudarshan Iyengar,NPTEL,3:07,3:30,this inverse is this domination is this and absorption is this looks like a very complicated slide full of a lot of details but trust me if you look at it at one level deep you will understand that there is nothing in it it is just like stating a daytoday english statement right
108.json,Discrete Mathematics by Prof Sudarshan Iyengar,NPTEL,3:30,3:51,look at identity it is nothing else but your a is equal to a equivalent correct inverse is like a into by a is that sort of an equivalence right so just go through it these are all very easy and straightforward if you dont understand you can always talk to us over the forum and we will be happy
108.json,Discrete Mathematics by Prof Sudarshan Iyengar,NPTEL,3:51,4:08,to answer but as of now we have told you the first three laws the rest we are leaving it to you to understand and write the truth tables and validate the equivalence now that the professor has taught all the laws of logic let us now use them one by
108.json,Discrete Mathematics by Prof Sudarshan Iyengar,NPTEL,4:08,4:37,one and simplify some statements the first one negation of p implies q this can be written as negation of not p or q i hope you know the reason p implies q is equivalent to not p or q and hence i wrote this when i apply de morgans laws i will get it as negation of negation p and negation
108.json,Discrete Mathematics by Prof Sudarshan Iyengar,NPTEL,4:37,5:02,q its a not not p and by double negation this becomes p again therefore this is p and not q so this is the answer the next one this statement looks very complicated let us simplify it so ill break it into chunks p or q and p or not q and a or for this entire one with
108.json,Discrete Mathematics by Prof Sudarshan Iyengar,NPTEL,5:02,5:23,q so what i will do is i will apply the distributive law over here and hence we get it as p or q or q and p or negation q or q as and always you must sit with a pen and paper and do it with us sidebyside
108.json,Discrete Mathematics by Prof Sudarshan Iyengar,NPTEL,5:23,5:44,applying the associative law it becomes p or q or q this was in the bracket earlier now i will put q or q in the bracket by associative law again here it is p or not q or q the associative law again and then what is q or q
108.json,Discrete Mathematics by Prof Sudarshan Iyengar,NPTEL,5:44,6:07,q or q is q itself therefore this is p or q and not q or q by the inverse or negation law it becomes a true statement either q is true or not q has to be true and when we apply an or operator we get a true statement
108.json,Discrete Mathematics by Prof Sudarshan Iyengar,NPTEL,6:07,6:25,and then ill denote this by say t just for convenience t is not something very complicated i am just denoting a true statement here as t i am applying the inverse or the negation law here and how did i get q or q or q i applied the idempotent law if you remember
108.json,Discrete Mathematics by Prof Sudarshan Iyengar,NPTEL,6:25,6:45,so i get it as p or q and p or t now p or t any statement with an or operator with a true statement its always true and hence i will retain this as it is here so i get it as p or q and t now how do i compute this
108.json,Discrete Mathematics by Prof Sudarshan Iyengar,NPTEL,6:45,7:07,this depends on whether p or q is true or false if p or q is true then we get it as true itself or the other way so it depends on what p or q is therefore p or q is dominating here by the domination law so i get it as p or q and t by the domination law
108.json,Discrete Mathematics by Prof Sudarshan Iyengar,NPTEL,7:07,7:19,now this value depends on what p or q is so by identity law this becomes just p or q so this entire statement is simplified to p or q
109.json,Discrete Mathematics by Prof Sudarshan Iyengar,NPTEL,0:02,0:34,look at these two ladies i make this statement both of them are good looking i repeat both of them are good looking when do you think ill be wrong both of them are not good looking not really i will be wrong rather my statement my statement this statement that both of them are good looking will be wrong
109.json,Discrete Mathematics by Prof Sudarshan Iyengar,NPTEL,0:34,0:49,will be false if one of them at least is not good looking right this is what we mean by what is popularly called the de morgans law
11.json,Discrete Mathematics by Prof Sudarshan Iyengar,NPTEL,00:00:04,00:00:26,so you would have observed something here there are two ways in which you can write a and b but then keep it as it is similarly there are two ways in which you can write b and c you see and two ways in which you can write a and c so the point is whenever
11.json,Discrete Mathematics by Prof Sudarshan Iyengar,NPTEL,00:00:26,00:00:47,you bring in a new entity lets say c you can think of keeping c in the first place or the second place or the third place when you keep seeing the first place you have options to put your other two letters a and b in the other two places and this you can do in two
11.json,Discrete Mathematics by Prof Sudarshan Iyengar,NPTEL,00:00:47,00:01:16,ways similarly a b here this you can do in two ways and here this you can do in two ways the point im trying to make is if for two objects a b it takes two ways for three objects it takes three times because you can write c in first or second or third placeholder
11.json,Discrete Mathematics by Prof Sudarshan Iyengar,NPTEL,00:01:16,00:01:50,three times the times it takes for you to arrange two objects so the answer is the answer for three objects is going to be the answer for two objects times three now you note if we had four objects lets say a b c and d you take d in the first place d in
11.json,Discrete Mathematics by Prof Sudarshan Iyengar,NPTEL,00:01:50,00:02:11,the second place d in the third place and d in the fourth place and in the remaining three places a b c can appear in how many ways whatever was the answer for three objects right and here again you have one placeholder one here one here and a b c is the possibilities
11.json,Discrete Mathematics by Prof Sudarshan Iyengar,NPTEL,00:02:11,00:02:37,for this placeholders and this a b c can appear as you can see in six ways six ways here six ways here and six ways here so basically it is four times six ways which in other words let me write that down answer for four objects is going to be answer for
11.json,Discrete Mathematics by Prof Sudarshan Iyengar,NPTEL,00:02:37,00:03:21,three objects times four which we know answer for three objects was it is into so in general you probably are seeing a pattern thats forming here the answer for objects is answer for objects into five correct so answer for n objects in general is going to be answered for n minus objects times n so for it happened to be into for
11.json,Discrete Mathematics by Prof Sudarshan Iyengar,NPTEL,00:03:21,00:03:45,it turns out to be into answer for which is into into for its going to be times into into into in general for n this is going to be n into n minus into n minus up to into so this is also called n factorial what did we just
11.json,Discrete Mathematics by Prof Sudarshan Iyengar,NPTEL,00:03:45,00:04:19,now observe we observed that ways in which n people can take all possible photographs happens to be n factorial which stands for n into n minus into n minus up to into now this is a very important finding that we have observed and were going to use this
11.json,Discrete Mathematics by Prof Sudarshan Iyengar,NPTEL,00:04:19,,in almost all of the lectures that are forthcoming from this onwards
110.json,Discrete Mathematics by Prof Sudarshan Iyengar,NPTEL,0:03,0:23,you would have observed that the example which i gave to explain this law both the ladies are good looking is actually not a statement my choice of this example was simply because it was very easy on your minds it is nice to see the negation of this statement
110.json,Discrete Mathematics by Prof Sudarshan Iyengar,NPTEL,0:23,0:47,okay let us now look at de morgans law a little more closely it says not of p and q is same as not p or not q so you now know that equivalence means the corresponding entries in the truth table should match lets see if this happens or not
110.json,Discrete Mathematics by Prof Sudarshan Iyengar,NPTEL,0:47,1:11,p q p and q not of p and q then i will write not p not q and finally not p or not q as i fill the entries you should be able to do it all by yourself you will observe that the fourth column and the seventh column match exactly
110.json,Discrete Mathematics by Prof Sudarshan Iyengar,NPTEL,1:11,1:37,so is the case with not of p or q being equivalent to not p and not q now look at the truth table here with these seven columns again here the fourth column and the last column does match we verified these two laws these are very important by two laws i mean de morgans law a two different versions
110.json,Discrete Mathematics by Prof Sudarshan Iyengar,NPTEL,1:37,1:59,you can now connect de morgans law to set theory complement actually is equivalent to negation union here is equivalent to or and intersection is equivalent to and so you see some sort of a similarity between the de morgans law of set theory and the de morgans law of logic
110.json,Discrete Mathematics by Prof Sudarshan Iyengar,NPTEL,1:59,2:06,now that we have studied these laws let us see the laws in action in the coming lectures
111.json,Discrete Mathematics by Prof Sudarshan Iyengar,NPTEL,0:02,0:39,so theres a theft scene and our detective sherlock holmes is investigating on the case and he observes that there is this theft but there is no clue whatsoever and then he gets to know that for sure there has been some sort of a burglary but he gets to know that that dog did not bark in that particular
111.json,Discrete Mathematics by Prof Sudarshan Iyengar,NPTEL,0:39,1:12,house where burglary happened dog did not bark in fact the statement is there is absolutely no clue what happened even the dog did not bark is what someone tells sherlock holmes and sherlock holmes immediately reduces there is this burglary that happened and dog did not bark which means the conclusion is that someone inside the house probably is involved that
111.json,Discrete Mathematics by Prof Sudarshan Iyengar,NPTEL,1:12,1:22,the dog recognized the person and hence did not bark and thats the climax of the story and he finally solves the crime mystery so what just happened think about it
112.json,Discrete Mathematics by Prof Sudarshan Iyengar,NPTEL,0:03,0:27,when you are given a puzzle you have some information in your hand we have to deduce something and conclude something so similarly even in logic sometimes we will be given statements which are known to be true we have to use that information and arrive at our conclusions following are a few points that you need to make note of
112.json,Discrete Mathematics by Prof Sudarshan Iyengar,NPTEL,0:27,0:49,whatever statements are given to be true we write them one below the other after all the given information is over we put a horizontal line and we write conclusion just below it whenever we come across some primitive statement to be true we write a on top of it
112.json,Discrete Mathematics by Prof Sudarshan Iyengar,NPTEL,0:49,1:09,if it is false we write on top of it you will get to know as we proceed as you know if some primitive statement p is false not p will be true so while writing down the information we write it as p bar is true dont worry much about it
112.json,Discrete Mathematics by Prof Sudarshan Iyengar,NPTEL,1:09,1:29,we will see a lot of problems and you will get a hang of it very soon look at this example given that p is not true and given that p or q is true by this we mean p is known to be false but p or q is known to be true
112.json,Discrete Mathematics by Prof Sudarshan Iyengar,NPTEL,1:29,1:49,this should simply mean that look this fellow is false p is false and i say this or of p and q is true which should imply to you that q is true right i say therefore q is true right i am inferring some fact from the given statements
112.json,Discrete Mathematics by Prof Sudarshan Iyengar,NPTEL,1:49,2:11,look at this i tell you that look there are these two students ram and michael amongst ram and michael at least one of them is intelligent i say this and you also trust me it is true that one of these two at least one of these two are intelligent
112.json,Discrete Mathematics by Prof Sudarshan Iyengar,NPTEL,2:11,2:31,what does that mean that means that ram is intelligent and michael is not or michael is intelligent and ram is not or both of them are intelligent how can you consider both of them because look at the statement what i said above i said at least one of them is intelligent which means both of them can be intelligent
112.json,Discrete Mathematics by Prof Sudarshan Iyengar,NPTEL,2:31,2:51,okay now i say this and then what you do is you interview michael you talk to him you find him very dumb right he doesnt know some of the basics of computer science but he claims he knows he is a graduate in computer science now what can you conclude
112.json,Discrete Mathematics by Prof Sudarshan Iyengar,NPTEL,2:51,3:16,i have told you that its true that one of them at least is intelligent and knows good amount of computer science and you interview michael and you conclude that he doesnt know anything what is your inference now your inference should be ram certainly is intelligent correct now this is precisely what we solved before
112.json,Discrete Mathematics by Prof Sudarshan Iyengar,NPTEL,3:16,3:37,i told you that p or q is true p is ram is intelligent q is michael is intelligent and then you saw that not q was true michael was not intelligent and therefore you concluded that p is true okay now this is just a there is a small difference
112.json,Discrete Mathematics by Prof Sudarshan Iyengar,NPTEL,3:37,3:55,p and q roles are interchanged here from the previous problem but it is same as you can see right p or q is true q is not true therefore p must be true now do you see the importance of deducing something like this you might be wondering such a straightforward english statement why are we complicating
112.json,Discrete Mathematics by Prof Sudarshan Iyengar,NPTEL,3:55,4:16,by using some sophisticated mathematical logic you will observe there were only two statements here what if you had such statements and you were forced to conclude something we will see more such examples where you will feel the need to write things down and then conclude something instead of using plain english logic
113.json,Discrete Mathematics by Prof Sudarshan Iyengar,NPTEL,0:02,0:26,look at the statement p i stay in the state called punjab in the country india and we have this beautiful city right next to our institute iit the name of the city is chandigarh it is a very beautiful city now look at this i made this statement p it
113.json,Discrete Mathematics by Prof Sudarshan Iyengar,NPTEL,0:26,0:58,is raining in chandigarh when is p true p is true if it is actually raining right now okay q is the weather in chandigarh is very good today what is p p is it is raining in chandigarh today q is weather is very pleasant in chandigarh today now i say p implies q is true what do i mean by that i mean that if it is raining
113.json,Discrete Mathematics by Prof Sudarshan Iyengar,NPTEL,0:58,1:13,in chandigarh today it implies that weather is going to be nice today its going to be pleasant today this is true right you should not debate on how do you know if this is right right i am telling you its always true in chandigarh that whenever it rains
113.json,Discrete Mathematics by Prof Sudarshan Iyengar,NPTEL,1:13,1:41,the weather becomes really pleasant and awesome now p implies q and it did rain today p is true what can you conclude therefore you can say q is true the weather is indeed pleasant today now let us dissect this more on some given day you go and you observe that q is true and we
113.json,Discrete Mathematics by Prof Sudarshan Iyengar,NPTEL,1:41,2:01,all know that p implies q is true q is true means weather is good in chandigarh today and p implies q means when it rains in chandigarh the weather becomes pleasant in chandigarh q p implies q can you conclude that p is true here absolutely not that is because whenever the weather is
113.json,Discrete Mathematics by Prof Sudarshan Iyengar,NPTEL,2:01,2:22,pleasant i never told you that pleasant weather means that day there was rain right i never said that i only said if it rains on a given day on a particular day that day the weather becomes very pleasant correct so this is false if q is true p implies q is true therefore
113.json,Discrete Mathematics by Prof Sudarshan Iyengar,NPTEL,2:22,2:42,p we cannot conclude but if p is true p implies q is true therefore q we can conclude not just in this case in any case for that matter okay i just revisited this problem although i solved it before this is a good application of this problem and we will see more of such inference
113.json,Discrete Mathematics by Prof Sudarshan Iyengar,NPTEL,2:42,3:09,techniques in the forthcoming questions let us look at this question i will from now onwards not worry much about the english statements i will simply write the mathematical logical statements it is given that statement p statement q and statement r these three statements are given and you are told that p or q is true you are also told that not p or r is
113.json,Discrete Mathematics by Prof Sudarshan Iyengar,NPTEL,3:09,3:35,true you might be wondering what am i doing treat this more like a mathematical puzzle okay and not r is true meaning r is false r is false not p or r is true when r is false right this particular r becomes false and i say not p or r is true when this is false and this entire
113.json,Discrete Mathematics by Prof Sudarshan Iyengar,NPTEL,3:35,3:59,r thing is true not p should be true which means p should be false so p is false here but p or q is true when p is false p or q is true absolutely one can conclude that without any question or doubt q should be true observe this problem carefully if you
113.json,Discrete Mathematics by Prof Sudarshan Iyengar,NPTEL,3:59,4:10,didnt understand think about it watch this video once again all that we did was every single line of this is true what can you say we can say that q is true
114.json,Discrete Mathematics by Prof Sudarshan Iyengar,NPTEL,0:03,0:27,a word of warning there could be questions where you cannot conclude anything for example look at this i said p or q is true and i also say q or r is true what can you say you cannot say anything decisively about any variable here okay i will give you one more extra information
114.json,Discrete Mathematics by Prof Sudarshan Iyengar,NPTEL,0:27,0:44,p is given to be true p is given to be true p or q is true q or r is true still you cannot conclude anything about lets say p is given to be true writing therefore p here is redundant you see we already know p is true
114.json,Discrete Mathematics by Prof Sudarshan Iyengar,NPTEL,0:44,1:00,correct can you conclude q is true here can you conclude r is true here not really you cannot i gave you an example where you cannot conclude that something is true im now giving you an example where you can conclude that a lot of things are true as
114.json,Discrete Mathematics by Prof Sudarshan Iyengar,NPTEL,1:00,1:19,well you see look at this p and q is true q implies r is true what can you conclude i am saying p and q is true which means p is true and q is true so p is true q is true and q is implying r which means r is true
114.json,Discrete Mathematics by Prof Sudarshan Iyengar,NPTEL,1:19,1:47,you see therefore you can say that r is true here correct what if i added one more implication here i said p and q is true q implies r and r implies s so given that p and q is true definitely q is true okay q implying r is true which means when q is true q implies r is true which means r should
114.json,Discrete Mathematics by Prof Sudarshan Iyengar,NPTEL,1:47,2:05,be true r is true i can say therefore r also r is implying s r is true which implies s is true i can even say therefore s you saw an example where you could conclude that something is true you saw an example where you couldnt conclude that anything is true
114.json,Discrete Mathematics by Prof Sudarshan Iyengar,NPTEL,2:05,2:09,now we are seeing an example where you could conclude multiple things are true
115.json,Discrete Mathematics by Prof Sudarshan Iyengar,NPTEL,0:02,0:28,look at this question p implies q r implies not q and then r is given to be true what can you conclude from these three statements well observe tp r is given to be true all right which means r is true let me write on top of r to denote that r is true once r is true r is implying something that something
115.json,Discrete Mathematics by Prof Sudarshan Iyengar,NPTEL,0:28,0:51,has to be true if the implication is true you see so not q is true which means not q is true means what q is false so when q not q becomes q becomes if q is and p is implying q p cannot be because cannot imply so p has to be so i can say therefore
115.json,Discrete Mathematics by Prof Sudarshan Iyengar,NPTEL,0:51,1:10,p is false or in other words not p is true im sure youre trying to get a hang of this problem if you are not still do not worry we are going to solve more problems you will soon get the hang of it a trick in understanding some of the mathematical questions is to see
115.json,Discrete Mathematics by Prof Sudarshan Iyengar,NPTEL,1:10,1:32,the exercise problem repeatedly okay is to see the same problem again and again do not be in this temptation to solve more problems without understanding the first problem the idea is to understand the first problem properly and repeatedly observe it solve it again and again see the internals of it and then go ahead to the next problem and solve more problems
115.json,Discrete Mathematics by Prof Sudarshan Iyengar,NPTEL,1:32,2:03,it is given that p and q is true and p implies r and q is true r implies s or t is true and s is known to be not true in other words not s is true what can you conclude lets see so p and q is a nice way to say that p is true and q is true okay given that p is true
115.json,Discrete Mathematics by Prof Sudarshan Iyengar,NPTEL,2:03,2:19,let me write on top of p p is true p is implying something this something has to be true when p is true this entire thing is true when the entire thing is true and the entire thing is and of several variables then individually these variables must be to true
